"EffectiveDate";"Status";"SubService";"ExpressRoute";"Protocol";"Port";"Value";"Guid";"PublicationDate";"DescriptionIsParsable";"OperationType";"QuickDescription"
"2/25/2016 12:00:00 AM";"Required";"Remote Analyzer";"False";"TCP";"443";"134.170.52.124";"04cfc402-afe6-4017-af91-05dfb303bfd5";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 7 Old Endpoints"
"2/25/2016 12:00:00 AM";"Required";"Remote Analyzer";"False";"TCP";"443";"157.56.138.141";"04cfc402-afe6-4017-af91-05dfb303bfd5";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 7 Old Endpoints"
"2/25/2016 12:00:00 AM";"Required";"Remote Analyzer";"False";"TCP";"443";"157.56.138.142";"04cfc402-afe6-4017-af91-05dfb303bfd5";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 7 Old Endpoints"
"2/25/2016 12:00:00 AM";"Required";"Remote Analyzer";"False";"TCP";"443";"157.56.138.143";"04cfc402-afe6-4017-af91-05dfb303bfd5";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 7 Old Endpoints"
"2/25/2016 12:00:00 AM";"Required";"Remote Analyzer";"False";"TCP";"443";"testexchangeconnectivity.com";"04cfc402-afe6-4017-af91-05dfb303bfd5";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 7 Old Endpoints"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"134.170.101.0/24";"3b8b8100-80b3-4b4d-a2bb-f47dbacda315";"2/25/2016 11:30:36 AM";"True";"Adding";"Adding 6 New IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"157.56.116.0/25";"3b8b8100-80b3-4b4d-a2bb-f47dbacda315";"2/25/2016 11:30:36 AM";"True";"Adding";"Adding 6 New IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"207.46.108.0/25";"3b8b8100-80b3-4b4d-a2bb-f47dbacda315";"2/25/2016 11:30:36 AM";"True";"Adding";"Adding 6 New IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"157.56.110.0/23";"3b8b8100-80b3-4b4d-a2bb-f47dbacda315";"2/25/2016 11:30:36 AM";"True";"Adding";"Adding 6 New IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"57.56.120.0/25";"3b8b8100-80b3-4b4d-a2bb-f47dbacda315";"2/25/2016 11:30:36 AM";"True";"Adding";"Adding 6 New IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"57.55.234.0/24";"3b8b8100-80b3-4b4d-a2bb-f47dbacda315";"2/25/2016 11:30:36 AM";"True";"Adding";"Adding 6 New IP_Sets"
;;;;;;"N/A";"507f181e-43ac-42c5-999c-1ee91e91c333";"2/25/2016 11:30:36 AM";"True";"InfoONly";"Information - read description"
"3/29/2016 12:00:00 AM";"Required";"Exchange Online";"False";"TCP";"443";"191.232.96.0/19";"4bfc5029-fe70-407e-b920-5cfb403afd60";"2/29/2016 11:41:31 AM";"True";"Adding";"Adding 1 New IP_Sets"
"2/29/2016 12:00:00 AM";"Optional";"Microsoft Azure Active Directory (MFA)";"False";"TCP";"443";"secure.aadcdn.microsoftonline-p.com";"105dfb30-3bfd-4502-9fe7-107efa204cfc";"2/29/2016 11:41:31 AM";"True";"Adding";"Adding 1 New FQDN"
"2/29/2016 12:00:00 AM";"Optional";"Microsoft Azure Active Directory (MFA)";"False";"TCP";"443";"pfd.phonefactor.net";"e6018ef9-105d-4fb3-83bf-d5029fe7106e";"2/29/2016 11:41:31 AM";"True";"Removing";"Removing 3 Old FQDN"
"2/29/2016 12:00:00 AM";"Optional";"Microsoft Azure Active Directory (MFA)";"False";"TCP";"443";"pfd2.phonefactor.net";"e6018ef9-105d-4fb3-83bf-d5029fe7106e";"2/29/2016 11:41:31 AM";"True";"Removing";"Removing 3 Old FQDN"
"2/29/2016 12:00:00 AM";"Optional";"Microsoft Azure Active Directory (MFA)";"False";"TCP";"443";"css.phonefactor.net";"e6018ef9-105d-4fb3-83bf-d5029fe7106e";"2/29/2016 11:41:31 AM";"True";"Removing";"Removing 3 Old FQDN"
;;;;;;"N/A";"06dfb303-bfc5-4029-be71-07ef9205cfb4";"3/9/2016 4:06:53 PM";"True";"InfoONly";"Information - read description"
;;;;;;"N/A";"b303bfd5-018f-4e81-86df-a204cfc402af";"3/9/2016 4:06:53 PM";"True";"InfoONly";"Information - read description"
"3/9/2016 12:00:00 AM";"Required";"In-app redirection";"False";"TCP";"80 & 443";"ocsredir.officeapps.live.com";"304bfc50-29fe-4700-bef9-205cfb403afd";"3/9/2016 4:06:53 PM";"True";"Adding";"Adding 6 New FQDNs"
"3/9/2016 12:00:00 AM";"Required";"In-app redirection";"False";"TCP";"80 & 443";"r.office.microsoft.com";"304bfc50-29fe-4700-bef9-205cfb403afd";"3/9/2016 4:06:53 PM";"True";"Adding";"Adding 6 New FQDNs"
"3/9/2016 12:00:00 AM";"Required";"In-app redirection";"False";"TCP";"80 & 443";"officeredir.microsoft.com";"304bfc50-29fe-4700-bef9-205cfb403afd";"3/9/2016 4:06:53 PM";"True";"Adding";"Adding 6 New FQDNs"
"3/9/2016 12:00:00 AM";"Required";"In-app redirection";"False";"TCP";"80 & 443";"officepreviewredir.microsoft.com";"304bfc50-29fe-4700-bef9-205cfb403afd";"3/9/2016 4:06:53 PM";"True";"Adding";"Adding 6 New FQDNs"
"3/9/2016 12:00:00 AM";"Required";"In-app redirection";"False";"TCP";"80 & 443";"o15.officeredir.microsoft.com";"304bfc50-29fe-4700-bef9-205cfb403afd";"3/9/2016 4:06:53 PM";"True";"Adding";"Adding 6 New FQDNs"
"3/9/2016 12:00:00 AM";"Required";"Recent documents";"False";"TCP";"443";"ocws.officeapps.live.com";"304bfc50-29fe-4700-bef9-205cfb403afd";"3/9/2016 4:06:53 PM";"True";"Adding";"Adding 6 New FQDNs"
